no,name,code,gu,zip,tel,fax,www,hr,off,class,lati,longi,year
1571,LH 강남3단지 작은도서관,8,강남구,서울특별시 강남구 자곡로3길 22,02-459-8700,,,,매주 화요일목요일,작은도서관,37.4710583,127.0909725,
1848,休+밤토리SH작은도서관,8,강남구,서울특별시 강남구 밤고개로26길 50(율현동 강남한신휴플러스6단지),,,,,-,작은도서관,37.468065,127.105463,
1935,강남구립못골도서관,8,강남구,서울시 강남구 자곡로 116,02-459-5522,,http://mglib.gangnam.go.kr,,둘째 넷째 화요일,공공도서관,37.5095179,127.0321502,
1066,강남역삼푸른솔도서관,8,강남구,서울특별시 강남구 테헤란로8길 36. 4층,02-2051-1178,02-2051-1178,http://ysplib.gangnam.go.kr/,,24 주 화요일 및 법정 공휴일,공공도서관,37.49646,127.032016,20090612
1845,강남한신휴플러스8단지 작은도서관,8,강남구,서울특별시 강남구 밤고개로27길 20(율현동 강남한신휴플러스8단지),,,,,-,작은도서관,37.468099,127.105431,
1572,강남한양수자인작은씨앗도서관,8,강남구,서울특별시 강남구 자곡로 260,,,cafe.naver.com/sujainbook,,매주 일요일,작은도서관,37.4779732,127.1127972,
113,개포1동작은도서관,8,강남구,서울특별시 강남구 개포로 310-17 개포1동주민센터,02-3423-7670,,http://www.gangnam.go.kr/dong/main/main.do?dongCode=400101,,토일요일 법정공휴일,작은도서관,37.4823308,127.0574652,20110110
114,개포4동작은도서관,8,강남구,서울특별시 강남구 개포로38길 12 개포4동주민센터,02-3423-7884,,http://gaepo4.gangnam.go.kr,,토일요일 법정공휴일,작은도서관,37.4790819,127.051637,20110110
3,국립어린이청소년도서관,8,강남구,서울특별시 강남구 테헤란로7길 21,02-3413-4800,02-3451-0724,http://www.nlcy.go.kr/,,매월 둘째넷째 월요일 일요일을 제외한 공휴일,공공도서관,37.50087,127.029639,20060628
1573,꿈꾸는작은도서관,8,강남구,서울특별시 강남구 자곡로3길 21,02-3412-5678,,,,,작은도서관,37.4715531,127.0880973,
1574,꿈밭작은도서관,8,강남구,서울특별시 강남구 자곡로 204-19,02-3462-9962,,,,,작은도서관,37.4737893,127.1041558,
48,논현도서관,8,강남구,서울 강남구 학동로 북32길 17 논현2문화센터 6층,02-3443-7650,02-542-6459,http://nhlib.gangnam.go.kr/,,매월 24주 화요일,공공도서관,37.517216,127.037173,19970910
50,논현정보도서관,8,강남구,서울 강남구 학동로 169 3층  (논현동),02-511-7466,,http://nhilib.gangnam.go.kr,,매주 일요일 및 법정공휴일,작은도서관,37.513907,127.029277,20030709
1542,다움 영어 도서관,8,강남구,서울특별시 강남구 개포로 124길 7 다움영어 작은도서관,02-445-0714,,cafe.daum.net/daoomeli,,토요일일요일,작은도서관,37.4941229,127.0828782,20140714
1259,대치1동작은도서관,8,강남구,서울특별시 강남구 남부순환로 391길 19 대치1문화센터 지하1층,02-3452-1170,,http://dch1lib.gangnam.go.kr/,,법정공휴일,작은도서관,37.493514,127.0567431,20080225
49,대치도서관,8,강남구,서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호,02-565-6666,02-554-6666,http://dchlib.gangnam.go.kr/,,매월 24주 화요일 및 법정공휴일,공공도서관,37.496074,127.063542,19990226
1545,데시앙 숲속 작은도서관,8,강남구,서울특별시 강남구 광평로 34길 55 강남데시앙포레아파트,02-445-4301,,,,매주 일요일,작은도서관,37.4807347,127.0923404,20150227
116,도곡2동작은도서관,8,강남구,서울특별시 강남구 남부순환로378길 34-9 도곡2동주민센터,02-3423-7554,,dg2lib.gangnam.go.kr,,토일요일 법정공휴일,작은도서관,37.4837101,127.0463599,19990102
1402,도곡정보문화도서관,8,강남구,서울시특별시 강남구 도곡로18길 57,02-2176-0783~8,02-529-0377,http://dogoklib.gangnam.go.kr/,,첫째주셋째주 월요일 및 법정공휴일,공공도서관,37.488237,127.039271,20140319
1846,드림 작은도서관,8,강남구,서울특별시 강남구 언주로121길 5(논현동),,,,,-,작은도서관,37.511438,127.035322,
1575,래미안포레 작은도서관,8,강남구,서울특별시 강남구 밤고개로 21길 25,02-3414-0919,,,,매주 토요일일요일,작은도서관,37.4773782,127.1046006,
1576,브리즈힐도서관,8,강남구,서울특별시 강남구 자곡로 3길 45,,,,,,작은도서관,37.472211,127.0906835,
